id,name,capacity,grass,city,state,zip,country_code,location,elevation,year_constructed,dome,location/x,location/y
4747,Abbott Memorial Alumni Stadium,10000,,Tuskegee,AL,,US,,122.8,1925,FALSE,,
3599,Ace W. Mumford Stadium,28500,,Baton Rouge,LA,,US,,20.24213219,1928,FALSE,30.5221461,-91.1896087
3601,Aggie Memorial Stadium,30343,FALSE,Las Cruces,NM,88003,US,,1208.201294,1978,FALSE,32.2796202,-106.7411148
3603,Aggie Stadium,21500,,Greensboro,NC,,US,,235.1224518,1981,FALSE,36.0814337,-79.7700391
3602,Aggie Stadium,10849,,Davis,CA,,US,,11.3825922,2007,FALSE,38.5365266,-121.7627936
3604,Alamodome,65000,FALSE,San Antonio,TX,78299,US,,201.5526886,1993,FALSE,29.4169834,-98.4788143
3653,Albertsons Stadium,36387,FALSE,Boise,ID,83725,US,,823.2221069,1970,FALSE,43.6028839,-116.1958882
3605,Alerus Center,12283,FALSE,Grand Forks,ND,,US,,255.2472076,2001,FALSE,47.910622,-97.090996
1027,Alex G. Spanos Stadium,11075,,San Luis Obispo,CA,,US,,84.6832428,2006,FALSE,35.2984123,-120.6650005
3607,Alfond Stadium,10000,FALSE,Orono,ME,4469,US,,35.4817543,1998,FALSE,44.905128,-68.6724718
3609,Allgood-Bailey Stadium,8000,,Rolla,MO,,US,,336.1,1967,FALSE,,
5363,Allianz Stadium,45500,TRUE,Sydney,NSW,,AU,,42.8,1988,FALSE,,
3610,Aloha Stadium,50000,FALSE,Honolulu,HI,96818,US,,10.26500511,1975,FALSE,21.3728014,-157.9299645
3597,Alumni Memorial Field,10000,,Lexington,VA,,US,,294.958252,1962,FALSE,37.788983,-79.43505
3613,Alumni Stadium,7000,,Dover,DE,,US,,10.95275307,1980,FALSE,39.189375,-75.5433185
3615,Alumni Stadium,44500,FALSE,Chestnut Hill,MA,2467,US,,39.82634354,1957,FALSE,42.335104,-71.1664413
3616,Amon G. Carter Stadium,45000,FALSE,Fort Worth,TX,76129,US,,185.4387054,1929,FALSE,32.7096604,-97.3680835
3617,Andy Kerr Stadium,10221,,Hamilton,NY,,US,,337.1443787,1966,FALSE,42.8168991,-75.5452721
5221,ANZ Stadium,83500,TRUE,Sydney,,,AU,,9.444999695,1999,FALSE,-33.846991,151.063435
3825,Apogee Stadium,30850,FALSE,Denton,TX,76210,US,,198.6871948,2011,FALSE,33.203899,-97.159245
3619,Arizona Stadium,56029,FALSE,Tucson,AZ,85721,US,,742.1530151,1928,FALSE,32.2288054,-110.9488677
3620,Armstrong Stadium,17000,,Hampton,VA,,US,,2.574624538,1928,FALSE,37.0200894,-76.3331555
3622,Arrowhead Stadium,76416,TRUE,Kansas City,MO,,US,,256.798584,1972,FALSE,39.048889,-94.483889
3623,Arthur J. Rooney Athletic Field,2200,,Pittsburgh,PA,,US,,269.4302979,1993,FALSE,40.4355808,-79.9900263
3624,Arute Field,3500,,New Britain,CT,,US,,41.29866409,1969,FALSE,41.6950591,-72.7616197
3687,AT&T Stadium,100000,FALSE,Arlington,TX,,US,,172.5047302,2009,FALSE,32.747778,-97.092778
3626,Autzen Stadium,54000,FALSE,Eugene,OR,97401,US,,127.4198303,1967,FALSE,44.0582712,-123.0684883
