,abbreviation,alt_color,color,conference,division,logos,mascot,school
13,ABC,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2017.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2017.png']",Battlers,Alderson-Broaddus
14,ALF,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/365.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/365.png']",Saxons,Alfred
15,ASC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3162.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3162.png']",Pioneers,Alfred State College
16,ALL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2018.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2018.png']",Golden Gators,Allegheny
17,ALM,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2800.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2800.png']",Scots,Alma College
18,AIC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2022.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2022.png']",Yellow Jackets,American International
19,AMH,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/7.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/7.png']",Mammoths,Amherst College
20,AND,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2023.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2023.png']",Ravens,Anderson (IN)
21,ANG,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2025.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2025.png']",Rams,Angelo State
22,ANN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/15.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/15.png']",Amcats,Anna Maria College
23,APP,#ffcd00,#000000,Sun Belt,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2026.png']",Mountaineers,Appalachian State
24,APP,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3111.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3111.png']",Builders,Apprentice School
25,ARIZ,#00205b,#002449,Pac-12,South,"['http://a.espncdn.com/i/teamlogos/ncaa/500/12.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/12.png']",Wildcats,Arizona
26,AZCR,,,,,,Firestorm,Arizona Christian
27,ASU,#f1f2f3,#942139,Pac-12,South,"['http://a.espncdn.com/i/teamlogos/ncaa/500/9.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png']",Sun Devils,Arizona State
28,ARK,#000000,#9c1831,SEC,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/8.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png']",Razorbacks,Arkansas
29,ARK,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2028.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2028.png']",Weevils,Arkansas-Monticello
30,UAPB,#eaaa00,#e0aa0f,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2029.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2029.png']",Golden Lions,Arkansas-Pine Bluff
31,ARST,#000000,#e81018,Sun Belt,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2032.png']",Red Wolves,Arkansas State
32,ARK,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2033.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2033.png']",Wonder Boys,Arkansas Tech
33,ARMY,#231f20,#ce9c00,FBS Independents,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/349.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/349.png']",Black Knights,Army
34,ASH,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/308.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/308.png']",Eagles,Ashland
35,ASP,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2038.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2038.png']",Greyhounds,Assumption
36,AUB,#f1f2f3,#03244d,SEC,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2.png']",Tigers,Auburn
37,AUG,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/124.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/124.png']",Auggies,Augsburg
38,AUG,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2042.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2042.png']",Vikings,Augustana (IL)
39,AUG,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2043.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2043.png']",Vikings,Augustana (SD)
40,AUR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2044.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2044.png']",Spartans,Aurora
41,AUS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2045.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2045.png']",Kangaroos,Austin College
42,PEAY,,#8e0b0b,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2046.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2046.png']",Governors,Austin Peay
43,AMU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3178.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3178.png']",Gyrenes,Ave Maria
44,AVE,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2047.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2047.png']",Cougars,Averett
45,AVC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2048.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2048.png']",Eagles,Avila College
46,AZU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2049.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2049.png']",Cougars,Azusa Pacific
47,BKN,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/487.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/487.png']",Warriors,Bacone College
48,BAK,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/488.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/488.png']",Wildcats,Baker University
49,BAL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/188.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/188.png']",Yellow Jackets,Baldwin-Wallace
50,BALL,#ffffff,#DA0000,Mid-American,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2050.png']",Cardinals,Ball State
51,BAT,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/121.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/121.png']",Bobcats,Bates College
52,BAY,#ffb81c,#004834,Big 12,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/239.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png']",Bears,Baylor
53,BEC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/479.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/479.png']",Hawks,Becker College
54,BEL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/266.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/266.png']",Buccaneers,Beloit College
55,BEM,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/132.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/132.png']",Beavers,Bemidji State
56,BBG,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/490.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/490.png']",Tigers,Benedict College
57,BEN,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/16111.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/16111.png']",Bndctne Col,Benedictine College
58,BEN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2283.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2283.png']",Eagles,Benedictine (IL)
59,BENT,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2060.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2060.png']",Falcons,Bentley
60,BER,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2757.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2757.png']",Vikings,Berry College
61,BET,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/492.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/492.png']",Swedes,Bethany (KS)
62,BET,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2062.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2062.png']",Bison,Bethany (WV)
63,BET,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2802.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2802.png']",Royals,Bethel (MN)
64,BET,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2064.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2064.png']",Wildcats,Bethel (TN)
65,BCU,#e9aa12,#7b1831,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2065.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2065.png']",Wildcats,Bethune-Cookman
66,BIR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3.png']",Panthers,Birmingham-Southern
67,BLA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2070.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2070.png']",Beavers,Blackburn
68,BLA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2069.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2069.png']",Yellow Jackets,Black Hills State
69,BLO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2071.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2071.png']",Huskies,Bloomsburg
70,BLU,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/495.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/495.png']",Rams,Bluefield College
71,BLU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2074.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2074.png']",Beavers,Bluffton
72,BSU,#d8d9da,#09347A,Mountain West,Mountain,"['http://a.espncdn.com/i/teamlogos/ncaa/500/68.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/68.png']",Broncos,Boise State
73,BC,#a39161,#88001a,ACC,Atlantic,"['http://a.espncdn.com/i/teamlogos/ncaa/500/103.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/103.png']",Eagles,Boston College
74,BOW,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/340.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/340.png']",Polar Bears,Bowdoin
75,BGSU,#492000,#2b1000,Mid-American,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/189.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/189.png']",Falcons,Bowling Green
76,BRE,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2913.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2913.png']",Tornados,Brevard College
77,BGW,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/18.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/18.png']",Bears,Bridgewater State
78,BRD,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2079.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2079.png']",Eagles,Bridgewater (VA)
79,BBM,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2080.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2080.png']",Thunderbirds,Brit Columbia
80,BRO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2781.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2781.png']",Golden Eagles,Brockport State (NY)
81,BRWN,#949300,#411e09,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/225.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/225.png']",Bears,Brown
82,BRY,#9f8343,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2803.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2803.png']",Bulldogs,Bryant
83,BUCK,#00316e,#000060,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2083.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2083.png']",Bison,Bucknell
84,BUE,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/63.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/63.png']",Beavers,Buena Vista
85,BUFF,#ebebeb,#041A9B,Mid-American,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2084.png']",Bulls,Buffalo
86,BUF,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2085.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2085.png']",Bengals,Buffalo State
87,BUT,#00a3e0,#0d1361,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2086.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2086.png']",Bulldogs,Butler
88,BYU,#ffffff,#001E4C,FBS Independents,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/252.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/252.png']",Cougars,BYU
89,CAL,#ffc423,#031522,Pac-12,North,"['http://a.espncdn.com/i/teamlogos/ncaa/500/25.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/25.png']",Golden Bears,California
90,CAL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2858.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2858.png']",Vulcans,California (PA)
91,CAL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2094.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2094.png']",Kingsmen,Cal Lutheran
92,CP,#eed897,#1E4D2B,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/13.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/13.png']",Mustangs,Cal Poly
93,CAMP,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2097.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2097.png']",Camels,Campbell
94,CAP,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/424.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/424.png']",Crusaders,Capital
95,CAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2101.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2101.png']",Knights,Carleton
96,CAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2102.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2102.png']",Tartans,Carnegie Mellon
97,CAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/32.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/32.png']",Pioneers,Carroll (WI)
98,CNEW,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2105.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2105.png']",Eagles,Carson-Newman
99,CAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2106.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2106.png']",Redmen,Carthage
100,CSR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2963.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2963.png']",Spartans,Case Western Reserve
101,CAS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/293.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/293.png']",Spartans,Castleton State College
102,CAT,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2107.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2107.png']",Indians,Catawba
103,CATH,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2108.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2108.png']",Cardinals,Catholic University
104,CEN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2964.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2964.png']",Dutch,Central
105,UCA,#8e959a,#a7a9ac,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2110.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2110.png']",Bears,Central Arkansas
106,CCSU,#d1d5d8,#1B49A2,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2115.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2115.png']",Blue Devils,Central Connecticut
107,CDF,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2860.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2860.png']",Eagles,Central Methodist
108,CMU,#ffffff,#6a0032,Mid-American,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2117.png']",Chippewas,Central Michigan
109,CEN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2118.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2118.png']",Mules,Central Missouri State
110,CEN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2122.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2122.png']",Bronchos,Central Oklahoma
111,CCI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2119.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2119.png']",Marauders,Central State
112,CEN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2120.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2120.png']",Wildcats,Central Washington
113,CEN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2121.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2121.png']",Colonels,Centre
114,CHA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2123.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2123.png']",Eagles,Chadron State
115,CHA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/411.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/411.png']",Panthers,Chapman
116,CHSO,#ded090,#2e3192,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2127.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2127.png']",Buccaneers,Charleston Southern
117,CHA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2128.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2128.png']",Golden Eagles,Charleston (WV)
118,CHAR,#cfab7a,#0C562D,Conference USA,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2429.png']",49ers,Charlotte
119,CHAT,#dca71d,#00386b,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/236.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/236.png']",Mocs,Chattanooga
120,CHE,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2129.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2129.png']",Wolves,Cheyney
121,CHI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/80.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/80.png']",Maroons,Chicago
122,CHR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3112.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3112.png']",Captains,Christopher Newport
123,CIN,#717073,#000000,American Athletic,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2132.png']",Bearcats,Cincinnati
124,CLA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/17.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/17.png']",Stags,Claremont
125,CLA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2134.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2134.png']",Golden Eagles,Clarion
126,CLK,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2805.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2805.png']",Panthers,Clark Atlanta
127,CLEM,#522d80,#F66733,ACC,Atlantic,"['http://a.espncdn.com/i/teamlogos/ncaa/500/228.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png']",Tigers,Clemson
128,CCU,#876447,#007073,Sun Belt,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/324.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/324.png']",Chanticleers,Coastal Carolina
129,COA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2557.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2557.png']",Bears,Coast Guard
130,COE,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2141.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2141.png']",Kohawks,Coe
131,COL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/33.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/33.png']",White Mules,Colby
132,COLG,#231f20,#8B011D,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2142.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2142.png']",Raiders,Colgate
133,FAI,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3211.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3211.png']",Warriors,College of Faith
134,COFC,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3253.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3253.png']",Saints,College of Faith - Charlotte
135,COI,,,,,,Yotes,College of Idaho
136,CNJ,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2442.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2442.png']",Lions,College of New Jersey
137,COLO,#ffd200,#d1c57e,Pac-12,South,"['http://a.espncdn.com/i/teamlogos/ncaa/500/38.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png']",Buffaloes,Colorado
138,COL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2144.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2144.png']",Tigers,Colorado College
139,MESA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/11.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/11.png']",Mavericks,Colorado Mesa
140,COL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2146.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2146.png']",Orediggers,Colorado Mines
141,CSU,#ffc425,#004537,Mountain West,Mountain,"['http://a.espncdn.com/i/teamlogos/ncaa/500/36.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/36.png']",Rams,Colorado State
142,CSUP,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2570.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2570.png']",Thunderwolves,Colorado State-Pueblo
143,CLMB,#004b85,#174785,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/171.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/171.png']",Lions,Columbia
144,CON,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2148.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2148.png']",Mountain Lions,Concord
145,CON,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3099.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3099.png']",Hornets,Concordia (AL)
146,CMI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2985.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2985.png']",Cardinals,Concordia College (MI)
147,CON,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2151.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2151.png']",Cougars,Concordia (IL)
148,CON,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2152.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2152.png']",Cobbers,Concordia (MN)
149,CON,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3066.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3066.png']",Golden Bears,Concordia-St. Paul
150,CON,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/409.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/409.png']",Falcons,Concordia (WI)
151,CONN,#f1f2f3,#001d40,American Athletic,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/41.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/41.png']",Huskies,Connecticut
152,COR,#101010,#d60027,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/172.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/172.png']",Big Red,Cornell
153,COR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2155.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2155.png']",Rams,Cornell College (IA)
154,CRO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/509.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/509.png']",Storm,Crown College
155,CUL,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/510.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/510.png']",Wildcats,Culver-Stockton
156,CUM,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2161.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2161.png']",Bulldogs,Cumberland
157,CUM,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/511.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/511.png']",Indians,Cumberland College
